t=2026-06-14T14:48:39+0000 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-06-14T14:48:39+0000 lvl=info msg="no configuration paths supplied"
t=2026-06-14T14:48:39+0000 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2026-06-14T14:48:39+0000 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T14:48:39+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T14:48:39+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T14:48:39+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T14:48:39+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T14:59:15+0000 lvl=info msg="join connections" obj=join id=783ecda495ad l=127.0.0.1:8000 r=34.12.125.176:44720
t=2026-06-14T14:59:37+0000 lvl=info msg="join connections" obj=join id=d7579c04fedb l=127.0.0.1:8000 r=115.79.37.109:61406
t=2026-06-14T14:59:54+0000 lvl=info msg="join connections" obj=join id=de336a70a059 l=127.0.0.1:8000 r=34.12.125.176:34566
t=2026-06-14T15:00:15+0000 lvl=info msg="join connections" obj=join id=2a520753a270 l=127.0.0.1:8000 r=115.79.37.109:62435
t=2026-06-14T15:00:31+0000 lvl=info msg="join connections" obj=join id=8b37a829b1e1 l=127.0.0.1:8000 r=34.12.125.176:45732
t=2026-06-14T15:00:52+0000 lvl=info msg="join connections" obj=join id=f519c941a117 l=127.0.0.1:8000 r=115.79.37.109:52952
t=2026-06-14T15:01:09+0000 lvl=info msg="join connections" obj=join id=d6fe322374ce l=127.0.0.1:8000 r=34.12.125.176:43310
t=2026-06-14T15:01:37+0000 lvl=info msg="join connections" obj=join id=2c489dd497f0 l=127.0.0.1:8000 r=115.79.37.109:57167
t=2026-06-14T15:01:40+0000 lvl=info msg="join connections" obj=join id=eb2189a21ad7 l=127.0.0.1:8000 r=34.12.125.176:55872
t=2026-06-14T15:02:10+0000 lvl=info msg="join connections" obj=join id=a8db5ce650af l=127.0.0.1:8000 r=115.79.37.109:52790
